CompName,id
EuroChem Agro Bulgaria Ead,BGAGR
RUESM -ОСП Краснодар,RUESM
Fertilizantes Tocantins S.A.,BRFTO
НКО Фонд СУЭК-Регионам,F199
"ООО ""Сибирские промышленные решения""",BCS-SG7001
ТОО ЕвроХим – Каратау,KZKRT
RUESM - ОСП Ростов на Дону,RUESM
SUEK US LLC,7A00
RUESM - ОСП Волгоград,RUESM
RUESM -ОСП Воронеж,RUESM
ООО ЕвроХим-ВолгаКалий,RUVGK
ООО Еврохим-Волгосервис,RUVOS
Агроцентр Невинномысск,RUDNE
EuroChem Agro Spa,ITEAG
EuroChem Agro GmbH,DEEAG
ООО ЕвроХим-Северо-Запад-3,RUENW
ООО ЕвроХим-Энерго,RUERG
ООО Юг-Сервис,RUYUG
АО Ковдорский ГОК,RUKGK
Agrocenter Holding B.V.,NLAGH
Emerger Fertilizantes S.A.,AREFO
ООО Новомосковский хлор,RUNCL
Lifosa AB,LTLIF
EuroChem Agricultural Trading Hellas SA,GREAH
ООО ЕвроХим – ОНГК,RUONG
ООО Депо-Еврохим,RUDPO
Агроцентр Волгоград,RUDVO
АО Невинномысский Азот,RUNEV
ООО ЕвроХим-СаратовКалий,RUESK
Eurochem International Holding B.V.,NLEIH
EuroChem Agro Hungary Kft,HUAGR
EuroChem LatAm America S.à r.l.,LULAT
ООО Новомосковск-ремстройсервис,RURNM
EuroChem Agro Iberia SL,ESEAI
ООО Санаторий-профилакторий Ковдорский,RUSPK
Филиал ТБТ,RUTBN
ООО ЕвроХим - Белореченские минеральные удобрения,RUBMU
SUEK AG (Swiss),7100
"АО""БарнаульскаяГенерация""",W100
"ООО ""АИМ Менеджмент""",1I00
"ООО ""ЦИФРОВЫЕ ТЕХНОЛОГИИ",1M00
"ООО ""Сибирская теплосбытовая компания""",1S00
"АО ""Барнаульская генерация""",W100
"АО ""Енисейская ТГК (ТГК-13)""",V100
"АО ""ЛУР""",6A00
"ООО ""ГлавЭнергоСбыт""",1300
"АО ""Кемеровская генерация""",U300
"ООО ""Модульные Системы Торнадо""",Y800
"ООО ""Сибирская генерирующая компания""",1R00
"АО ""СИБЭКО"" (Новосибирская ТЭЦ-4)",Y100
"АО ""Енисейская ТГК (ТГК-13)"" филиал Красноярская ТЭЦ-3",V100
"ООО ""СибПромРешения""",BCS-SG7001
"ООО ""Медико-санитарная часть ""УГОЛЬЩИК""",2U00
"БФ ""СГК - СОГРЕВАЕМ СЕРДЦА""",1T00
"филиал АО ""Барнаульская генерация"" ""Барнаульская теплосетевая компания""",W500
"ООО ""Цифровые технологии и платформы""",1M00
"ООО ""СИБ - ДАМЕЛЬ""",5400
苏艾科（上海）贸易有限公司,C100
"ООО ""Атлантик Траст Марин""",9F00
"ООО ""АПК ""Сибирь""",5S00
"ООО ""Тугнуйская обогатительная фабрика""",3F00
"МК ""СУЭК ЛТД"" (ООО)",1L00
"ООО ""Стивидорная Компания ""Малый порт""",6800
"ООО ""Восточно-Бейский разрез""",4100
"АО ""Кемеровская генерация"" Кемеровская ГРЭС",U300
SUEK Logistic GmbH,7Y00
Barter Coal Sp. z o.o.,BCS-7B00
SUEK Korea Ltd.,7M00
SUEK Baltic UAB,BCS-7R00
SUEK Polska Sp. z o.o.,7Q00
"Московский филиал ООО ""СУЭК Логистик""",7Z00
"ООО ""Арктические разработки""",1600
"Акционерное общество ""Разрез Канский""",2M00
PT. SUEK INDONESIA,7N00
SUEK Barter,BCS-7B00
SUEK Baltic PL,BCS-7R00
"АО ""Енисейская ТГК (ТГК-13)"" филиал Красноярская ТЭЦ-2",V100
REPRESENTATIVE OFFICE OF SUEK AG IN HANOI CITY,7G00
СУЭК АО,1100
СУЭК ЛТД,1L00
СУЭК Финанс,1800
"SUEK Singapore Trading Pte., LTD",7I00
"МК ""СУЭК ЛТД"" (ООО)
(SUEK LTD)",1L00
"АО «СУЭК-Кузбасс""",5N00
"ООО ""СК ""Малый порт""",6800
ООО «Сиб - Дамель»,5400
"ООО ""Тугнуйская  обогатительная фабрика""",3F00
SUEK Assets Holding,7E00
АО «КФС-ТРАНС»,BCS-1Q01
"Фонд ""СУЭК-РЕГИОНАМ""",F199
XXTSU01,1100
XXTSU02,1L00
XXTSU03,1800
XXTSU04,1R00
XXTSU05,2100
XXTSU06,BCS-SG7001
XXTSU07,VG00
XXTSU08,6700
XXTSU09,1N00
XXTSU10,VH00
XXTSU11,V100
XXTSU12,W100
XXTSU13,Y300
XXTSU14,4F00
XXTSU15,5N00
XXTSU16,3D00
XXTSU17,8200
XXTSU18,U100
XXTSU51,7100
XXTSU52,7S00
XXTSU53,7M00
АО СУЭК,1100
"МК ""СУЭК ЛТД"" ",1L00
"МК ""СУЭК ЛТД""",1L00
ООО Сибирская генерирующая компания,1R00
СУЭК-Красноярск,2100
ООО СибПромРешения,BCS-SG7001
ООО КРАСТЭК,VG00
Ургалуголь,6700
АО Национальная транспортная компания,1N00
АО Абаканская ТЭЦ,VH00
АО Енисейская ТГК,V100
АО Барнаульская генерация,W100
ООО НТСК,Y300
ООО СУЭК-Хакасия,4F00
АО СУЭК-Кузбасс,5N00
АО Разрез Тугнуйский,3D00
АО Дальтрансуголь,8200
АО Кузбассэнерго,U100
SUEK SECURITIES DAC,7S00
SUEK Korea,7M00
EUROCHEM ANTWERPEN NV,BEANF
AB LIFOSA,LTLIF
EUROCHEM AGRO BULGARIA EOOD,BGAGR
EuroСhem Agro GmbH,DEEAG
EUROCHEM TERMINAL SILLAMAE OSAUHING,EETNK
"EUROCHEM AGRO IBERIA, S.L.",ESEAI
"EuroChem Agro Iberia, SL",ESEAI
Eurochem Agro Hellas AE,GREAH
EUROCHEM AGRO HELLAS S.A.,GREAH
Eurochem Agro Hellas SA,GREAH
Eurochem Agro Hungary Kft.,HUAGR
AGROCENTER EUROCHEM S.R.L.,MDAGR
EUROCHEM POLSKA SPOLKA ZOO,PLAGR
EUROCHEM AGRO DOO BEOGRAD-NOVI BEOGRAD,RSAGR
EUROCHEM AGRO MEXICO S.A. DE C.V.,MXEAM
EUROCHEM NORTH AMERICA CORP,USBFC
EUROCHEM NORTH AMERICA CORPORATION,USBFC
EUROCHEM TRADING USA CORPORATION,USTRD
"ТОО ""Агроцентр ЕвроХим-Казахстан""",KZAGR
"ТОО ""Герес удобрения""",KZGER
"ТОО ""ЕвроХим-Каменковская нефтегазовая компания""",KZKAM
"ТОО ""ЕвроХим-Каратау""",KZKRT
"ТОО ""Сары-Тас-Удобрения""",KZSTS
"ТОО ""ЕВРОХИМ - УДОБРЕНИЯ""",KZUDB
"АО ""Горно-химическая компания  ""Ушгер""",KZUSH
"ООО ""АЗОТТЕХ""",RUAZT
LLC EUROCHEM - BELORECHENSKIE MINUDOBRENIA,RUBMU
"LLC ""EUROCHEM - BELORECHENSKIE MINUDOBRENIA""",RUBMU
"ООО ""Депо-ЕвроХим""",RUDPO
"EUROCHEM MCC, JSC",RUEMO
"ООО ""ЕвроХим-СаратовКалий""",RUESK
EUROCHEM TRADING RUS LLC,RUESM
"ООО ""ЕвроХим Трейдинг Рус""",RUESM
"ОП ООО ""ЕВРОХИМ ТРЕЙДИНГ РУС"" в г. Усть-Лабинск",RUESM
"ОП ООО ""ЕвроХим Трейдинг Рус"" в п. Дружный",RUESM
"ОП ООО ""ЕВРОХИМ ТРЕЙДИНГ РУС"" в с. Воронцовка",RUESM
"ОП ООО ""ЕВРОХИМ ТРЕЙДИНГ РУС"" в г. Невинномысск",RUESM
EUROCHEM NORTHWEST JSC,RUESZ
"АО ""ЕвроХим-СЗ""",RUESZ
EUROCHEM-TERMINAL NEVINNOMYSSK. LIMITED LIABILITY COMPANY,RUETN
PG PHOSPHORITE LLC,RUFSF
JSC KOVDORSKY GOK,RUKGK
EUROCHEM - USOLSKY POTASH COMPLEX LIMITED LIABILITY COMPANY,RUKUS
"ООО ""ЕвроХим-УКК""",RUKUS
"JSC ""AZOT""",RUNAK
"JSC ""NAK ""Azot""",RUNAK
"AO ""NAK ""Azot""",RUNAK
"Общество с ограниченной ответственностью ""ЕвроХим Северный Кавказ""",RUNCA
NOVOMOSKOVSKY CHLOR LLC,RUNCL
"OOO ""Novomoskovsky chlor""",RUNCL
JSC NEVINNOMYSSKY AZOT,RUNEV
"JSC ""Nevinnomyssky Azot""",RUNEV
"AO ""Nevinnomyssky Azot""",RUNEV
"ООО ""ЕХСЗ-2""",RUNWT
"ООО ""ОРС-Фосфорит""",RUORF
Protech Phosphate Research institut LTD,RUPTL
ООО «ПроТехСтрой»,RUPTS
"ООО ""Кингисепп-ремстройсервис""",RURKN
"ООО ""Новомосковск-ремстройсервис""",RURNM
"ООО ""Санаторий-Профилакторий ""Ковдорский""",RUSPK
"ООО ""Тонус-Плюс""",RUTON
EUROCHEM-VOLGAKALIY JSC,RUVGK
"ООО ""ЕвроХим-ВолгаКалий""",RUVGK
"ООО ""ЕвроХим-ВолгаСервис""",RUVOS
"ООО ""Невинномысск-Сервис""",RUZEL
AGROCENTER UKRAINE LLC,UADEX
EMERGER FERTILIZANTES SA,AREFO
FERTILIZANTES TOCANTINS S.A,BRFTO
FERTILIZANTES HERINGER S.A.,BRHRG
Fertilizantes Heringer SA,BRHRG
